,AD,CRC,CVD,IBD_GutInflammation,IBS,MS,Parkinsons,Schizophrenia,T2D,CD_disease_Probability,major_depressive_disorder,study_name,diseaseCat
D21-0-week-CDFMT37,0.3326845137008939,0.2554239926032014,0.021929606795310974,0.001008416900234827,0.00301329434855205,0.05047746929219775,0.002452231740375928,0.1606239251541979,0.99752025885807,0.5750183855362756,0.6195004437980872,CDFMT,
D21-0-week-CDFMT13,0.2601495512550025,0.06653854197188705,0.01563483290374279,0.0017796133859840182,0.0028296654382559397,0.04390525197316748,0.0046635479232152235,0.15122213027341108,0.9973672253311084,0.5729234150723597,0.5906406851472016,CDFMT,
D21-0-week-CDFMT15,0.3523330880688734,0.06969069183528233,0.013676736503839493,0.0015172075404388111,0.003275109456930166,0.03921692166221615,0.002052168296556814,0.15724301802988508,0.9946148979671411,0.5973882837022653,0.637451225526374,CDFMT,
D17-0-week-CDFMT10,0.743726638328464,0.01106161756356825,0.03471062704920769,0.0002547581788381722,0.0017521564862536386,0.040940088338930467,0.01132254065509082,0.5036889350077148,0.3602867489984229,0.44600578092064846,0.7838334190059715,CDFMT,
D17-0-week-CDFMT24,0.18998142726283856,0.10103283493651541,0.017034359276294708,0.006802500301842738,0.004800164501163017,0.029624924855906242,0.010052010518668162,0.1760284426960145,0.9915957928835349,0.6222403814518909,0.4631245238441473,CDFMT,
D16-0-week-CDFMT13,0.7450425437141093,0.7123487255259472,0.0456656850874424,3.557941658062242e-08,0.0029092036037035277,0.0014859208836091706,0.018398372086549302,0.2551519241558493,0.9480671099457083,0.6110516715505379,0.8520280307519593,CDFMT,
D21-0-week-CDFMT28,0.5328695242865689,0.3204659455083127,0.020845212042331696,0.0006687311287220191,0.004171016895013261,0.05202871171711304,0.0013748625935112542,0.16339853545784752,0.9974634144669651,0.5881930366265715,0.8264738954379636,CDFMT,
D16-0-week-CDFMT32,0.18453363350002602,0.33856191277280234,0.006404021289199591,0.08869557454092748,0.003986103840383237,0.07484029430244143,0.007081089955742535,0.11113575842271137,0.9990971623779293,0.5927584019322376,0.5738663774613681,CDFMT,
D23-0-week-CDFMT33,0.2989407080687977,0.04311517760521585,0.017214084044098854,0.0007541544899780838,0.0008727149610200733,0.00021555628563695348,0.039671559209129896,0.2497049205293079,0.6756068513853568,0.6044656835135966,0.8774325851071577,CDFMT,
D21-0-week-CDFMT31,0.42247212947566953,0.05396793249617487,0.01580278016626835,0.06576460692668952,0.006589720942528924,0.14418840740465827,0.001600764611100895,0.13589375092714145,0.9901127569610798,0.670907245795824,0.5578918176043305,CDFMT,
D16-0-week-CDFMT31,0.41781729128008926,0.0982924770206669,0.007523477077484131,0.015287555050883698,0.010955496640435472,0.19226804654215846,0.0014434173113061486,0.1387335214554941,0.9939620893839078,0.6320826649362141,0.48956503558173403,CDFMT,
D23-0-week-CDFMT30,0.16782878932427597,0.03147765273197706,0.01165413111448288,0.009885331058064363,0.00039927297637887987,0.008015521964650413,0.20678056562259065,0.13589550004841286,0.5386099378566874,0.6138032347765375,0.8296358906424891,CDFMT,
D23-0-week-CDFMT37,0.16251824159095812,0.03282307705739266,0.013348790816962719,0.005536552205399017,0.000988597588868671,0.007496915784304692,0.1482264894433981,0.15882667396278283,0.5640883217835881,0.6205966622545501,0.8373950472362734,CDFMT,
D23-0-week-CDFMT15,0.19532947778934193,0.05118928907585739,0.010296043008565903,9.9696852732977e-10,0.00059734386127272,0.008374378401219747,0.44269649674236894,0.26937605909460677,0.7010628831322637,0.5978730067435905,0.8325226611538491,CDFMT,
D3-0-week-CDFMT3,0.20876323863548543,0.06816427381522996,0.008553760126233101,2.5387261400941108e-06,0.006470325396308374,0.03244412095384615,0.017370210333573426,0.12173628437416616,0.5571371152560558,0.6391041757578505,0.7651797377689808,CDFMT,
D3-0-week-CDFMT1,0.2533378031294866,0.02679672053314891,0.015098451636731625,2.3808528451661323e-05,0.007184096219323899,0.027533897625751175,0.0076952278135423375,0.13391190213353815,0.5040915246797272,0.6358903243928977,0.8212088319298088,CDFMT,
