,AD,CRC,CVD,IBD_GutInflammation,IBS,MS,Parkinsons,Schizophrenia,T2D,CD_disease_Probability,major_depressive_disorder,study_name,diseaseCat
D21-0-week-CDFMT37,0.1301302384540574,0.12965917454964657,0.09922926279030492,0.5,0.16130918451548953,0.07832997593150906,0.045344180079242444,0.1428587550333496,0.9387998535593083,0.7864965560831708,0.46384152397489925,CDFMT,
D21-0-week-CDFMT13,0.4533375053920215,0.17626960532227456,0.08409710676430653,0.55,0.16263467353271419,0.0842251258837831,0.031278864226677305,0.09360863805605563,0.9677833638779199,0.7788012730926114,0.5515363004468359,CDFMT,
D21-0-week-CDFMT15,0.6658047906435096,0.15159996612533747,0.08374489375006812,0.55,0.16150612235563247,0.07598014520183759,0.04430775629926566,0.0975125994144061,0.9670849051215993,0.7364796948458364,0.6082113173277279,CDFMT,
D17-0-week-CDFMT10,0.9506279481322997,0.2576639414557448,0.08869312614840903,0.5,0.0007688645714960802,0.12348021083051557,0.18535468637398528,0.41776340782819027,0.7400518289252935,0.7908362038955424,0.6044012802408862,CDFMT,
D17-0-week-CDFMT24,0.12244372726050992,0.15743307948093616,0.09354053647950478,0.5,0.13212339850768454,0.07459978966618447,0.039870540449400214,0.23093202096908652,0.9708279685743633,0.7455883792497962,0.5188424639894944,CDFMT,
D16-0-week-CDFMT13,0.6472740549905971,0.25272782528493737,0.10112662107400174,0.5499999998921681,0.00533428056034879,0.3257490050327603,0.28245717904817436,0.15193931952218737,0.8839490045162607,0.7366853463764945,0.5889777721495469,CDFMT,
D21-0-week-CDFMT28,0.5156106856751156,0.15577688378673038,0.08680712560861208,0.6,0.04722147192318108,0.09183672374409053,0.05977759527913329,0.14560834180375454,0.9500789796650584,0.7729149204542903,0.7180116828868783,CDFMT,
D16-0-week-CDFMT32,0.0226939613417283,0.08253844759903695,0.0865120646428693,0.1,0.04332049286718716,0.43036640054980085,0.21004898831714952,0.09774495576066886,0.9674031302169985,0.7316889970708064,0.41579135314661475,CDFMT,
D23-0-week-CDFMT33,0.04284738835613636,0.15720491788833335,0.24973492251066506,0.05,0.00012909175103857604,0.04908563788014215,0.6799286552890338,0.2294373270959535,0.8946782051720163,0.7424137323743618,0.3926824367117672,CDFMT,
D21-0-week-CDFMT31,0.3292240976568951,0.19979930870813079,0.06701609688523323,0.5499813798346536,0.09397073222789526,0.5916510244816537,0.16453046761280382,0.13729361800477655,0.9601853400996044,0.8482931110883865,0.5947636940787793,CDFMT,
D16-0-week-CDFMT31,0.5167548749618356,0.0786856919261824,0.06666088351687653,2.0379444289431347e-89,0.05330880328105511,0.29608839679456095,0.1492662604077572,0.18754247575416907,0.97849496546095,0.7269442430677839,0.7858654117037822,CDFMT,
D23-0-week-CDFMT30,0.008134325088040375,0.12532443295385332,0.2547549216341454,0.05,0.0001756520088356966,0.06840905937497417,0.6951595154078092,0.15854836700518393,0.9674417397171118,0.7578152053545747,0.39256403265782774,CDFMT,
D23-0-week-CDFMT37,0.014023282693783588,0.12568175080343716,0.25153794103997684,0.05,0.00020962573015522362,0.05422678966781976,0.6847383631336734,0.20179165331534987,0.8920956895143237,0.7521944408755429,0.39122148785364713,CDFMT,
D23-0-week-CDFMT15,0.008046772776442489,0.12581352659767384,0.21939536276753904,0.05000000000000005,0.001315778949176596,0.032281042789855906,0.6978801284090559,0.3018654729238308,0.8949096423645259,0.7545560082961651,0.3846248529864288,CDFMT,
D3-0-week-CDFMT3,0.10860160578224873,0.1476208781134748,0.09400204133869217,0.2,0.5772473490445849,0.26503458435085736,0.4473228093375995,0.4106835242963201,0.5031305603525014,0.7876550033408012,0.6432904106758306,CDFMT,
